feature,importance,feature_clean,importance_rank,cumulative_importance
area,0.984444250188338,Area,1,0.984444250188338
age,0.0041224166233388,Age,2,0.9885666668116768
location_premium,0.0021799639905537,Location: Premium,3,0.9907466308022305
location_low,0.0021561511231075,Location: Low,4,0.992902781925338
bedrooms,0.0018264662253836,Bedrooms,5,0.9947292481507216
distance,0.001188465386009,Distance,6,0.9959177135367306
income_level_high,0.0011529310414451,Income: High,7,0.9970706445781757
crime_rate,0.0006095260950098,Crime Rate,8,0.9976801706731855
location_medium,0.0004883516050488,Location: Medium,9,0.9981685222782343
income_level_low,0.0004480231047068,Income: Low,10,0.9986165453829411
population_density,0.00042073310716,Population Density,11,0.999037278490101
bathrooms,0.000330294564926,Bathrooms,12,0.999367573055027
floors,0.000112579558357,Floors,13,0.999480152613384
garage,6.188888421656786e-05,Garage,14,0.9995420414976005
security,6.116816289326024e-05,Security,15,0.9996032096604938
parking,6.054032281439624e-05,Parking,16,0.9996637499833082
garden,6.046881965046564e-05,Garden,17,0.9997242188029587
income_level_mid,5.758587475349483e-05,Income: Mid,18,0.9997818046777122
shopping_mall_nearby,5.706013695689044e-05,Shopping Mall Nearby,19,0.9998388648146691
school_nearby,5.4688129637973054e-05,School Nearby,20,0.999893552944307
public_transport,5.402920255781115e-05,Public Transport,21,0.9999475821468649
hospital_nearby,5.241785313425847e-05,Hospital Nearby,22,0.9999999999999991
